,timestamp,t_indoor_measured,t_indoor_predicted,t_indoor_predicted_after_kalman
2020-01-04 00:00:00,2020/01/04 00:00:00,20.320430638402,18.61065005541809,19.0006
2020-01-04 00:05:00,2020/01/04 00:05:00,20.638092298114373,18.587360073131663,19.0552
2020-01-04 00:10:00,2020/01/04 00:10:00,20.495846932671498,18.559654372516775,19
2020-01-04 00:15:00,2020/01/04 00:15:00,20.355008426389304,18.532056034042228,18.9464
2020-01-04 00:20:00,2020/01/04 00:20:00,20.23486127502349,18.505831064067706,18.8979
2020-01-04 00:25:00,2020/01/04 00:25:00,20.115980035588905,18.48004074655745,18.8506
2020-01-04 00:30:00,2020/01/04 00:30:00,20.060347725073143,18.455272033911683,18.8189
2020-01-04 00:35:00,2020/01/04 00:35:00,20.005300699380314,18.430983401748335,18.788
2020-01-04 00:40:00,2020/01/04 00:40:00,19.96335763748374,18.407560856908276,18.7606
2020-01-04 00:45:00,2020/01/04 00:45:00,19.921738892310316,18.384662360896925,18.734
2020-01-04 00:50:00,2020/01/04 00:50:00,19.875976984996896,18.362498104964857,18.7066
2020-01-04 00:55:00,2020/01/04 00:55:00,19.830463991201952,18.34081609848488,18.6797
2020-01-04 01:00:00,2020/01/04 01:00:00,19.78373815932298,18.319703575316908,18.6528
2020-01-04 01:05:00,2020/01/04 01:05:00,19.73719328755243,18.29896616172948,18.6262
2020-01-04 01:10:00,2020/01/04 01:10:00,19.69440307883849,18.27862794277769,18.6007
2020-01-04 01:15:00,2020/01/04 01:15:00,19.651707833138744,18.258548952065553,18.5754
2020-01-04 01:20:00,2020/01/04 01:20:00,19.613327815612422,18.238734026324437,18.5513
2020-01-04 01:25:00,2020/01/04 01:25:00,19.57497276045615,18.219094206752118,18.5273
2020-01-04 01:30:00,2020/01/04 01:30:00,19.538890044035043,18.199635285684735,18.504
2020-01-04 01:35:00,2020/01/04 01:35:00,19.50279659166779,18.18030751469206,18.4807
2020-01-04 01:40:00,2020/01/04 01:40:00,19.46822072786,18.161120124866443,18.4579
2020-01-04 01:45:00,2020/01/04 01:45:00,19.433616664973215,18.142046666193323,18.4352
2020-01-04 01:50:00,2020/01/04 01:50:00,19.4006361461619,18.12309510633378,18.413
2020-01-04 01:55:00,2020/01/04 01:55:00,19.36761643568667,18.10424906230037,18.3908
2020-01-04 02:00:00,2020/01/04 02:00:00,19.336803576344607,18.085511479280342,18.3693
2020-01-04 02:05:00,2020/01/04 02:05:00,19.305940282936376,18.06686883261341,18.3478
2020-01-04 02:10:00,2020/01/04 02:10:00,19.276617182749533,18.048318816405867,18.3267
2020-01-04 02:15:00,2020/01/04 02:15:00,19.247241052556717,18.029848887094204,18.3057
2020-01-04 02:20:00,2020/01/04 02:20:00,19.21896732924705,18.01145387448065,18.2849
2020-01-04 02:25:00,2020/01/04 02:25:00,19.190643065993186,17.993122968891612,18.2642
2020-01-04 02:30:00,2020/01/04 02:30:00,19.163368401794173,17.974850816366313,18.2439
2020-01-04 02:35:00,2020/01/04 02:35:00,19.136046466104688,17.95662935543254,18.2235
2020-01-04 02:40:00,2020/01/04 02:40:00,19.109734611154067,17.938454573147112,18.2034
2020-01-04 02:45:00,2020/01/04 02:45:00,19.08337866618399,17.920321201278114,18.1833
2020-01-04 02:50:00,2020/01/04 02:50:00,19.057921037245478,17.902226780655838,18.1635
2020-01-04 02:55:00,2020/01/04 02:55:00,19.032422886498637,17.884168144573437,18.1436
2020-01-04 03:00:00,2020/01/04 03:00:00,19.007381866111587,17.866143831936995,18.1239
2020-01-04 03:05:00,2020/01/04 03:05:00,18.982306650496525,17.84815180782033,18.1054
2020-01-04 03:10:00,2020/01/04 03:10:00,18.957859216009865,17.831321290993912,18.089
2020-01-04 03:15:00,2020/01/04 03:15:00,18.933381290274895,17.816749297757724,18.0744
2020-01-04 03:20:00,2020/01/04 03:20:00,18.909593535795295,17.80454554712918,18.062
2020-01-04 03:25:00,2020/01/04 03:25:00,18.88577758628088,17.79494230927321,18.0517
2020-01-04 03:30:00,2020/01/04 03:30:00,18.86255037066985,17.788081031347474,18.0435
2020-01-04 03:35:00,2020/01/04 03:35:00,18.839297308627465,17.7838019696448,18.0366
2020-01-04 03:40:00,2020/01/04 03:40:00,18.816552267967893,17.781561941144616,18.0306
2020-01-04 03:45:00,2020/01/04 03:45:00,18.79378373404535,17.780464379232058,18.0242
2020-01-04 03:50:00,2020/01/04 03:50:00,18.771490612678747,17.779333510285824,18.0166
2020-01-04 03:55:00,2020/01/04 03:55:00,18.74917610633088,17.7768397561822,18.0066
