senHouDec_y,senTemOA_y,senTemRoom_y,senTemRoom1_y,senTemRoom2_y,senTemRoom3_y,senTemRoom4_y,maxTemp_y,minTemp_y,meanTemp_y,senCCPow_y,senCCPow1_y,senCCPow2_y,senCCPow3_y,senCCPow4_y,senFanPow_y,senFanPow1_y,senFanPow2_y,senFanPow3_y,senFanPow4_y,senHeaPow_y,senHeaPow1_y,senHeaPow2_y,senHeaPow3_y,senHeaPow4_y,senPowCor_y,senPowPer1_y,senPowPer2_y,senPowPer3_y,senPowPer4_y,senPowTot_y,time,start_time,dr_start_time,dr_end_time,state,reward,action,thermal_discomfort_Z0,thermal_discomfort_Z1,thermal_discomfort_Z2,thermal_discomfort_Z3,thermal_discomfort_Z4,hvac_energy_Z0,hvac_energy_Z1,hvac_energy_Z2,hvac_energy_Z3,hvac_energy_Z4,power_pen,dr_power_limit,rewards_tdisc_Z0,rewards_tdisc_Z1,rewards_tdisc_Z2,rewards_tdisc_Z3,rewards_tdisc_Z4,rewards_energy_Z0,rewards_energy_Z1,rewards_energy_Z2,rewards_energy_Z3,rewards_energy_Z4,UpperSetp[core_zn],LowerSetp[core_zn],UpperSetp[perimeter_zn_1],LowerSetp[perimeter_zn_1],UpperSetp[perimeter_zn_2],LowerSetp[perimeter_zn_2],UpperSetp[perimeter_zn_3],LowerSetp[perimeter_zn_3],UpperSetp[perimeter_zn_4],LowerSetp[perimeter_zn_4],s0,s1,s2,s3,plug_power,hvac_power,reward_irl,reward_dqn,curr_agent_states_n
0.0,293.15,293.1499999999999,293.15,293.15000000000003,293.15,293.14999999999986,293.15000000000003,293.14999999999986,293.15,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15379200.0,15379200,16.62135990777915,18.630014627961977,"[0.23529448 0.23529448 0.23529448 0.23529448 0.23529448 0.
 0.25       0.91877925 0.        ]",-5.74e-05,"[0, 0, 0, 0, 0, 0.15, 0.15, 0.15, 0.15, 0.15, 288.15, 288.15, 288.15, 288.15, 288.15]",0,0,0,0,0,1.6666666666666667e-06,2.5e-06,2.5e-06,2.5e-06,2.5e-06,0.0,30000,-0.0,-0.0,-0.0,-0.0,-0.0,-8.2e-06,-1.23e-05,-1.23e-05,-1.23e-05,-1.23e-05,303.15,288.15,303.15,288.15,303.15,288.15,303.15,288.15,303.15,288.15,4,0,0,3,4950.048262333334,0.12789442933794778,0.4914173232513237,-5.7400000000000006e-05,[[0.23529449 0.         0.25       0.92340887 0.        ]]
0.08333333333333333,293.13615451388887,294.3253937674248,294.70288591158464,294.8931746508219,294.702450312912,295.0628867313766,295.0628867313766,294.3253937674248,294.737358274824,-0.0,-0.0,-0.0,-0.0,-0.0,0.021570148914694817,0.026255983858607147,0.027023824689510263,0.025414201345011638,0.027630270530123922,0.0,0.0,0.0,0.0,0.0,0.021570148914694817,0.026255983858607147,0.027023824689510263,0.025414201345011638,0.027630270530123922,0.12789442933794778,15379500.0,15379200,16.62135990777915,18.630014627961977,"[0.30443528 0.3266407  0.33783415 0.3266151  0.3478172  0.00347222
 0.2475     0.91414964 0.        ]",-5.74e-05,"[0, 0, 0, 0, 0, 0.15, 0.15, 0.15, 0.15, 0.15, 288.15, 288.15, 288.15, 288.15, 288.15]",0,0,0,0,0,1.6666666666666667e-06,2.5e-06,2.5e-06,2.5e-06,2.5e-06,0.0,30000,-0.0,-0.0,-0.0,-0.0,-0.0,-8.2e-06,-1.23e-05,-1.23e-05,-1.23e-05,-1.23e-05,303.15,288.15,303.15,288.15,303.15,288.15,303.15,288.15,303.15,288.15,2,0,0,3,4950.048262333334,0.12789442932309913,1.0833205826351986,-5.7400000000000006e-05,[[0.32866848 0.00347222 0.2475     0.91877925 0.        ]]
0.16666666666666666,293.13090277777775,295.493520759153,296.2431205757465,296.612478523573,296.2422530415103,296.9495788287956,296.9495788287956,295.493520759153,296.3081903457557,-0.0,-0.0,-0.0,-0.0,-0.0,0.021570148911878702,0.02625598385553502,0.027023824686182106,0.02541420134245153,0.02763027052705178,0.0,0.0,0.0,0.0,0.0,0.021570148911878702,0.02625598385553502,0.027023824686182106,0.02541420134245153,0.02763027052705178,0.12789442932309913,15379800.0,15379200,16.62135990777915,18.630014627961977,"[0.37314865 0.41724274 0.43896967 0.4171917  0.45879912 0.00694444
 0.245      0.90952    0.        ]",-5.74e-05,"[0, 0, 0, 0, 0, 0.15, 0.15, 0.15, 0.15, 0.15, 288.15, 288.15, 288.15, 288.15, 288.15]",0,0,0,0,0,1.6666666666666667e-06,2.5e-06,2.5e-06,2.5e-06,2.5e-06,0.0,30000,-0.0,-0.0,-0.0,-0.0,-0.0,-8.2e-06,-1.23e-05,-1.23e-05,-1.23e-05,-1.23e-05,303.15,288.15,303.15,288.15,303.15,288.15,303.15,288.15,303.15,288.15,3,0,0,3,4950.048262333334,0.12789442932361117,1.0833205826351986,-5.7400000000000006e-05,[[0.42107038 0.00694444 0.245      0.91414964 0.        ]]
0.25,293.132421875,296.0950033975498,296.54339710199116,296.728732770457,296.5472748649028,296.95133105227274,296.95133105227274,296.0950033975498,296.5731478374347,-0.0,-0.0,-0.0,-0.0,-0.0,0.021570148911878702,0.026255983855791035,0.027023824686438123,0.02541420134219552,0.02763027052730779,0.0,0.0,0.0,0.0,0.0,0.021570148911878702,0.026255983855791035,0.027023824686438123,0.02541420134219552,0.02763027052730779,0.12789442932361117,15380100.0,15379200,16.62135990777915,18.630014627961977,"[0.40852997 0.43490607 0.44580817 0.43513417 0.45890218 0.01041667
 0.2425     0.90489036 0.        ]",-5.74e-05,"[0, 0, 0, 0, 0, 0.15, 0.15, 0.15, 0.15, 0.15, 288.15, 288.15, 288.15, 288.15, 288.15]",0,0,0,0,0,1.6666666666666667e-06,2.5e-06,2.5e-06,2.5e-06,2.5e-06,0.0,30000,-0.0,-0.0,-0.0,-0.0,-0.0,-8.2e-06,-1.23e-05,-1.23e-05,-1.23e-05,-1.23e-05,303.15,288.15,303.15,288.15,303.15,288.15,303.15,288.15,303.15,288.15,3,0,0,3,4950.048262333334,0.1278944293238672,1.0833205826351986,-5.7400000000000006e-05,[[0.43665609 0.01041667 0.24250001 0.90951997 0.        ]]
0.3333333333333333,293.13888888888886,296.6927546160916,296.84121436770755,296.84337813360787,296.8497988510821,296.9530456116945,296.9530456116945,296.6927546160916,296.8360383160367,-0.0,-0.0,-0.0,-0.0,-0.0,0.021570148912390726,0.02625598385553502,0.027023824686438123,0.02541420134245153,0.02763027052705178,0.0,0.0,0.0,0.0,0.0,0.021570148912390726,0.02625598385553502,0.027023824686438123,0.02541420134245153,0.02763027052705178,0.12789442932386716,15380400.0,15379200,16.62135990777915,18.630014627961977,"[0.44369182 0.45242473 0.45255202 0.4529297  0.45900303 0.01388889
 0.24       0.90026075 0.        ]",-5.74e-05,"[0, 0, 0, 0, 0, 0.15, 0.15, 0.15, 0.15, 0.15, 288.15, 288.15, 288.15, 288.15, 288.15]",0,0,0,0,0,1.6666666666666667e-06,2.5e-06,2.5e-06,2.5e-06,2.5e-06,0.0,30000,-0.0,-0.0,-0.0,-0.0,-0.0,-8.2e-06,-1.23e-05,-1.23e-05,-1.23e-05,-1.23e-05,303.15,288.15,303.15,288.15,303.15,288.15,303.15,288.15,303.15,288.15,3,0,0,3,4950.048262333334,0.12789442932335515,1.0833205826351986,-5.7400000000000006e-05,[[0.45212026 0.01388889 0.23999999 0.90489036 0.        ]]
0.4166666666666667,293.14848090277775,296.72387259724906,296.869680942934,296.8983878575205,296.88007230889457,297.0295696320425,297.0295696320425,296.72387259724906,296.8803166677281,-0.0,-0.0,-0.0,-0.0,-0.0,0.021570148911878702,0.026255983855535018,0.027023824686438123,0.02541420134219552,0.027630270527307793,0.0,0.0,0.0,0.0,0.0,0.021570148911878702,0.026255983855535018,0.027023824686438123,0.02541420134219552,0.027630270527307793,0.12789442932335515,15380700.0,15379200,16.62135990777915,18.630014627961977,"[0.44552228 0.45409924 0.45578787 0.45471048 0.46350446 0.01736111
 0.2375     0.89563113 0.        ]",-5.74e-05,"[0, 0, 0, 0, 0, 0.15, 0.15, 0.15, 0.15, 0.15, 288.15, 288.15, 288.15, 288.15, 288.15]",0,0,0,0,0,1.6666666666666667e-06,2.5e-06,2.5e-06,2.5e-06,2.5e-06,0.0,30000,-0.0,-0.0,-0.0,-0.0,-0.0,-8.2e-06,-1.23e-05,-1.23e-05,-1.23e-05,-1.23e-05,303.15,288.15,303.15,288.15,303.15,288.15,303.15,288.15,303.15,288.15,3,0,0,3,4950.048262333334,0.1278944293238672,1.0833205826351986,-5.7400000000000006e-05,[[0.45472488 0.01736111 0.2375     0.90026075 0.        ]]
0.5,293.15937499999995,296.75479361415415,296.8979096754139,296.9526332344845,296.91009315169,297.1050339344932,297.1050339344932,296.75479361415415,296.92409272204713,-0.0,-0.0,-0.0,-0.0,-0.0,0.021570148912390726,0.02625598385553502,0.027023824686438123,0.02541420134245153,0.02763027052705178,0.0,0.0,0.0,0.0,0.0,0.021570148912390726,0.02625598385553502,0.027023824686438123,0.02541420134245153,0.02763027052705178,0.12789442932386716,15381000.0,15379200,16.62135990777915,18.630014627961977,"[0.44734117 0.45575976 0.45897877 0.45647642 0.46794352 0.02083333
 0.235      0.89100146 0.        ]",-5.74e-05,"[0, 0, 0, 0, 0, 0.15, 0.15, 0.15, 0.15, 0.15, 288.15, 288.15, 288.15, 288.15, 288.15]",0,0,0,0,0,1.6666666666666667e-06,2.5e-06,2.5e-06,2.5e-06,2.5e-06,0.0,30000,-0.0,-0.0,-0.0,-0.0,-0.0,-8.2e-06,-1.23e-05,-1.23e-05,-1.23e-05,-1.23e-05,303.15,288.15,303.15,288.15,303.15,288.15,303.15,288.15,303.15,288.15,3,0,0,3,4950.048262333334,0.1278944293238672,1.0833205826351986,-5.7400000000000006e-05,[[0.45729995 0.02083333 0.235      0.89563113 0.        ]]
0.5833333333333334,293.1697482638889,296.7620769746785,296.89435813877253,296.9683021750914,296.90784947968626,297.1466677602692,297.1466677602692,296.7620769746785,296.93585090569957,-0.0,-0.0,-0.0,-0.0,-0.0,0.021570148912390726,0.026255983855279007,0.027023824686438123,0.02541420134245153,0.02763027052730779,0.0,0.0,0.0,0.0,0.0,0.021570148912390726,0.026255983855279007,0.027023824686438123,0.02541420134245153,0.02763027052730779,0.12789442932386716,15381300.0,15379200,16.62135990777915,18.630014627961977,"[0.44776958 0.45555085 0.4599005  0.45634446 0.47039258 0.02430556
 0.2325     0.88637185 0.        ]",-5.74e-05,"[0, 0, 0, 0, 0, 0.15, 0.15, 0.15, 0.15, 0.15, 288.15, 288.15, 288.15, 288.15, 288.15]",0,0,0,0,0,1.6666666666666667e-06,2.5e-06,2.5e-06,2.5e-06,2.5e-06,0.0,30000,-0.0,-0.0,-0.0,-0.0,-0.0,-8.2e-06,-1.23e-05,-1.23e-05,-1.23e-05,-1.23e-05,303.15,288.15,303.15,288.15,303.15,288.15,303.15,288.15,303.15,288.15,3,0,0,3,4950.048262333334,0.12789442932335515,1.0833205826351986,-5.7400000000000006e-05,[[0.4579916  0.02430556 0.2325     0.89100146 0.        ]]
0.6666666666666666,293.17777777777775,296.7693195860534,296.89084350270167,296.98376979965764,296.90563166760114,297.18774427179096,297.18774427179096,296.7693195860534,296.94746176556094,-0.0,-0.0,-0.0,-0.0,-0.0,0.021570148911878702,0.02625598385553502,0.027023824686438123,0.02541420134245153,0.02763027052705178,0.0,0.0,0.0,0.0,0.0,0.021570148911878702,0.02625598385553502,0.027023824686438123,0.02541420134245153,0.02763027052705178,0.12789442932335515,15381600.0,15379200,16.62135990777915,18.630014627961977,"[0.44819564 0.45534408 0.46081033 0.45621398 0.47280884 0.02777778
 0.23       0.88174224 0.        ]",-5.74e-05,"[0, 0, 0, 0, 0, 0.15, 0.15, 0.15, 0.15, 0.15, 288.15, 288.15, 288.15, 288.15, 288.15]",0,0,0,0,0,1.6666666666666667e-06,2.5e-06,2.5e-06,2.5e-06,2.5e-06,0.0,30000,-0.0,-0.0,-0.0,-0.0,-0.0,-8.2e-06,-1.23e-05,-1.23e-05,-1.23e-05,-1.23e-05,303.15,288.15,303.15,288.15,303.15,288.15,303.15,288.15,303.15,288.15,3,0,0,3,4950.048262333334,0.12789442932412318,1.0833205826351986,-5.7400000000000006e-05,[[0.45867457 0.02777778 0.23       0.88637185 0.        ]]
0.75,293.181640625,296.7799936211415,296.8959346777445,296.9900883404423,296.9118120900128,297.20149608795066,297.20149608795066,296.7799936211415,296.95586496345834,-0.0,-0.0,-0.0,-0.0,-0.0,0.021570148912390726,0.026255983854766976,0.027023824686694137,0.025414201342963554,0.02763027052730779,0.0,0.0,0.0,0.0,0.0,0.021570148912390726,0.026255983854766976,0.027023824686694137,0.025414201342963554,0.02763027052730779,0.12789442932412318,15381900.0,15379200,16.62135990777915,18.630014627961977,"[0.4488235  0.45564356 0.46118203 0.45657754 0.47361776 0.03125
 0.2275     0.87711257 0.        ]",-5.74e-05,"[0, 0, 0, 0, 0, 0.15, 0.15, 0.15, 0.15, 0.15, 288.15, 288.15, 288.15, 288.15, 288.15]",0,0,0,0,0,1.6666666666666667e-06,2.5e-06,2.5e-06,2.5e-06,2.5e-06,0.0,30000,-0.0,-0.0,-0.0,-0.0,-0.0,-8.2e-06,-1.23e-05,-1.23e-05,-1.23e-05,-1.23e-05,303.15,288.15,303.15,288.15,303.15,288.15,303.15,288.15,303.15,288.15,3,0,0,3,4950.048262333334,0.1278944293238672,1.0833205826351986,-5.7400000000000006e-05,[[0.45916886 0.03125    0.22750001 0.88174224 0.        ]]
